Piece Title,Genre,Description,Bpm,Key,Time Signature,Mode,Duration,Instruments,Keywords,Mood,Production Style,Overall Quality,Soundcloud Link,TV PLACEMENT YES: TARGET
Princess,"Score, Orchestral","a very long, magical, and cute score type piece",120,D,4/4,Ionian,8:31,"Strings, orchestra, flute, clarinet, marimba, piano","sleepy, cute, energetic, childish, magical, the little prince, magic, peter pan, cartoon, comic, animation, animated, relaxing, dreamy, dreaming, teddy bear, toys, toy, morning, waking up, wake up, sweet, christmas","cheerful, contemplative, dreamy, magical, hopeful, pleasant, positive, calm, whimsical, youthful, wonder, thoughtful","romance, drama, teen, special occasion, fantasy",3,,0
Pump,"Score, Drone","A phrygian drone track featuring solo cello, inspired by the desolation of an oil field in the middle east",130,Em,4/4,Phrygian,6:56,"Synth, Synth Bass, Solo Cello, Percussion, Elec. Drums","Space Station, Space, Spacecraft, Docking, Alarm, Pumping, Pump, Oil, Iraq, Afghanistan, Middle east, Desolate, Desolation, Drone, Explosives, IED, Humvee, Desert","Driving, Fearful, Resolute, Tense","Action, Sci-Fi, Chase/Fight, Drama, Heroic",4,,0
Premonition,"Drone, Ambient",A birdcall infused drone synth ambiance,120,Cm,4/4,Aeolian,6:56,"Synthesizer, Sound Effects","meditation, new age, drone, meditate, nature, documentary, gritty, birds, birdcalls, space station, hollow, coins, money, ambient, ambiance","Meditative, Tense, Intense","Sci-fi, Documentary, Builds, Crime, Drama",4,,0
Mountain Passage,"Drone, Ambient",A a deep and icy synth drone ambiance,108,B,4/4,Ionian,6:48,Synth Sound Effects,"Meditation, new age, drone, meditate, nature, documentary, windy, wind, reverb, throat singing, synth, ambient, ambiance","Meditative, Chill, Ominous, Dark, Relaxed","Drama, Romance, Documentary, Crime",4,,0
Sky Passage 2,"Drone, Ambient","A spacy, ethereal, sound design infused synth drone piece",106,C,4/4,Ionian,6:38,"Synthesizer, Sound Effects","meditation, new age, drone, meditate, nature, documentary, desert, jungle, island, ambiance, ambient, birds, crows,","Meditative, eerie, positive, dark","Sci-fi, Documentary, Crime,Drama",4,,0
Sea Passage,"Drone, Ambient","A peaceful, lonely ambiance inspired by crossing the sea",120,Ab,4/4,Ionian,6:36,"Synth, Synth Pad, Synth Bass, Sound Effects","Lonely, Peaceful, Nature, Documentary, Ocean, Spacy, Trippy, Aquarium, Drone, Serenity, Crystals, Peace, New Age","Chill, Joyful, Happy, Meditative, Relaxed, Positive","Romance, Drama, Teen, Documentary",4,,0
Coral Empire,Ambient,Algorithmically generated ambient soundtrack music,120,C,4/4,Ionian,6:26,"Synth Pad, Synth, Synth Bass","Ambient, documentary, nature, meditation, meditative, relaxing, chill, ","Relaxed, Happy, Uplifting","Documentary, Romance, Drama",4,,0
Sky Passage 1,"Drone, Ambient",Sound Designy ambient drone piece,53,C,4/4,Ionian,6:20,"Synthesizer, Sound Effects","crime, sound design, paper, tearing paper, drone, ambiance, ambience, ambient, ambiant, droning, heat, desert, middle east, meditate, meditation, concrete, documentary, score, dark, moody, creepy, spooky, phrygian, nature, natural, morning, desolate, deserted, texture, ","chill, dark, gloomy, mysterious, ominous, suspenseful, dark, lethargic","documentary, drama, crime, romance",4,,0
Tide,"Drone, Ambient",A peaceful but unsettled synth ambiance with a lot of sound design,120,B,4/4,Aeolian,6:10,"Synth, Synth Pad, Synth Bass, Sound Effects","Ocean, Surf, Meditation, Meditative, Ambient, Healing, New Age, Ambiance, Documentary, Nature, Desert, Mountains, Swells, Sound effects","Chill, Dark, Epic, Meditative, Moody","Documentary, Sci-Fi, Horror, Crime, Drama",4,,0
Spirit Passage,"Drone, Ambient","An ambient, drone-driven score featuring processed recordings of nature sounds",116,Ebm,4/4,Aeolian,5:46,"Synth Organ, Wind Chimes, Synth, Sound Design","Nature, Wolves, Spiders, Morning, Sunrise, Wilderness, Waking Up, Birds, Steam Engine, Train","Chill, Ambient, Ambience, Eerie, Lonely, Meditative, Mellow, Peaceful, Reflective, Mellow, Pensive","Documentary, Romance",4,,0
Spirit Gate,"Drone, Ambient","An ambient, drone-driven score featuring processed recordings of nature sounds",120,C,4/4,Ionian,5:42,"Synth, Synth Flute, Synth Organ, Organ, Sound Design","Nature, Wolves, Spiders, Morning, Sunrise, Wilderness, Waking Up, Birds, Coyotes","Chill, Ambient, Ambience, Eerie, Lonely, Meditative, Mellow, Peaceful, Reflective, Mellow, Pensive","Documentary, Romance",4,,0
Night Passage 3,"Drone, Ambient","A spacy and synth driven ambience with delayed plucks, evocative of a city at night.",123,Ebm,4/4,Aeolian,5:34,"Synthesizer, Sound Effects","meditation, new age, drone, meditate, nature, documentary, cityscape, darkness, streetlights, reverb, ethereal, sparkly, ambient, ambiance ","Meditative, Chill, Relaxed","Documentary, Romance, Romantic Comedy, Crime",4,,0
Hexx 24,"Score, Contemporary Classical",Eerie and strange quarter tone horror piece,120,Gm,4/4,Aeolian,5:24,"Synth Bass, Synth, String Quartet, Violin, Viola, Cello","Horror, Quarter Tone, Eerie, Weird, Creepy, Murder, Dread, Dreadful, Dramatic","Scary, Weird, Terrifying","Horror, Drama, Crime",4,,0
Sendai,"Drone, Ambient",A sparse and deeply meditative ambient piece featuring intermittant singing bowl hits.,120,Ebm,4/4,Aeolian,5:16,"Percussion, Synth Bass, Sound Effects","Meditation, Buddhism, Buddhist, Buddha, Crystals, New Age, Healing, Ambience, Ambient, Drone, Temple, Meditate, Documentary, solitary, lonely, tragedy","Chill, Dark, Meditative, Positive, Relaxed","Documentary, Romance, Drama",4,,0
Here Still,"Drone, Ambient",A meditative and sparkling synth drone ambiance,111,Cm,4/4,Aeolian,5:05,"Synthesizer, Sound Effects","Meditation, new age, drone, meditate, nature, documentary, water, drips, synth, echo, symbolic, trance, sleepy, ambient, ambiance","Meditative, Chill, Relaxed, ","Drama, Romance, Documentary, Sci-fi",4,,0
Darkness,"Score, Epic","Cinematic, dramatic, dark, sci-fi inspired theme that begins ambient and ends motoric",100,Fm,4/4,Aeolian,5:04,"Synth, Percussion, Strings, Violin, Orchestra","Dark, eerie, superhero, dramatic, Alien, sci-fi, science fiction, space, comic, marvel, dc comics, batman, deadpool, trailer, cinematic, spacy, spooky, deep, acoustic, epic","anxious, dark, determined, dramatic, brooding, intense, ominous, tense, suspenseful, dangerous","action, chase/fight, crime, drama, elimination, sci-fi, thriller/horror, video game",4,,0
Storm Pass,Ambient,A desolate and driving synth ambience reminiscent of driving through a desert in a thunderstorm,120,Ebm,4/4,Aeolian,5:00,"Synth, Synth Bass, Sound Effects","Driving, Rain, Thunderstorm, Desolate, Lonely, Impulse, Speeding, Lightning, Nature, Desert, Quiet, Quietude, Meditation, Meditate, New Age, Healing,","Dark, Driving, Energetic, Gloomy, Meditative, Resolute","Documentary, Horror, Action, Drama, Crime",4,,0
Candy for my Mind,"Synthpop, Pop","A indie pop tune in the vein of the Postal Service or Owl City, featuring abstractly romantic lyrics",80,Bb,4/4,Ionian,4:56,"Synth, Synth Bass, Elec. Drums Female Vox, Male Vox","Owl City, Happy, Romance, First Kiss, Kiss, Indie, Sci-fi, Playing, Video game, Console, Playstation","Bouncy, Cool, Fun, Happy, Joyful, Light, Magical, Uplifting, Sweet, Playful","Teen, Romance, Drama, Sci-fi",3,,0
To Cross the Water,"Drone, Ambient","An idyllic, spacy, peaceful sci-fi type ambience",99,Eb,4/4,Aeolian,4:51,"Synth, Synth Pad, Synth Bass, Synth Flute, Flute","Boats, Ocean, Starship, Desolation, Space, Spacy, Lonely, Spaceship, Technology, Sailing, Nature, Meditation, Meditative, Ambience, Ambient, Drone","Peaceful, Chill, Meditative, Moody, Relaxed","Documentary, Sci-Fi, Drama, Romance, Teen",4,,0
Stellate,"EDM, Trance, Happy Hardcore",A fast-tempo happy-hardcore or uplifting trance track,170,Gm,4/4,Aeolian,4:48,"Synth, Synth Bass, Elec. Drums","Rave, Trance, Party, Uplifting, Driving, Party, Car Commercial, Retro, Raver, Video Game, Gamer, Games  ","Driving, Cheerful, Energetic, Excited, Happy, Playful, Positive","Teen, Commercial, Romance, Drama, Sci-fi",1,,0
Bone Song,"Drone, Ambient",A sparkling and energetic synth ambience,120,,4/4,Ionian,4:42,"Synth, Synth Bass, Sound Effects","Nature, fishes, sparkles, sparkling, action, motion, coral reef, natural","Excited, Chill, Caffeinated","Documentary, Drama",4,,0
Snakes Spiral,"Score, Underscore",An ostinato based string drama / tension track with electronic elements,133,Gm,4/4,Aeolian,4:34,"Strings, String Section, Synth Lead, Elec. Drums","Dark, dangerous, moody, tragedy, breakup, fight, drama, death, anxiety, anxious, intense, intensity, key moment, requiem for a dream, ","Dark, Fearful, Tragic, Tense, Melancholy, Angry, Sad, Intense, Omenous","Romance, Drama, Horror, Builds",4,,0
Night Passage 1,"Drone, Ambient",A deep blue synth ambiance,88,Dm,4/4,Aeolian,4:27,"Synth, Synth bass, Sound Effects","Lonesome, Night, Dark, Spooky, Peaceful, Nature, Documentary, Lonely, Spacy, Sci-Fi, Ambient, Ambience, Return of the King, Lord of the rings","Melancholy, Chill, Dark, Meditative, Moody, Relaxed","Documentary, Drama, Romance, Horror, Crime",4,,0
Love you till the End of Me,Singer-Songwriter,Dramatic romantic split tempo piano ballad,78,Bb,4/4,Ionian,4:26,"Piano, Female Vox, Strings, Elec. Drums, Drums, Strings, Synth Bass","Romantic, Love Song, Apology, Vulnerable, Drivers License, Ballad, Drama, Dramatic, Loving, ","Romantic, Loving, Sad, Melancholy","Feature Film, Main Title, Romace",5,,0
Shanghai Lights,"Score, Upbeat",Upbeat and uplifting melodic hybrid score,110,F#,4/4,Aeolian,4:23,"Orchestra, Synth Bass, Horns, String","Uplifting, Euphoric, Happy","Dramatic, uplfiting, cheerful, heroic","Animation, Medieval",4,,0
Tidal Wave,"Drone, Ambient","Synth Bass, Sound Effects",120,Cm,4/4,Aeolian,4:22,"Synth Bass, Sound Effects","Building, Destruction, Disturbing, Scary, Imminent, Disaster, Doom, Terror, Tsunami, Documentary, Nature, Fury","Exciting, Fearful, Dark, Dangerous, Epic, Tense, Tragic","Sci-fi, Horror, Documentary, Crime, Drama",4,,0
Night Passage 2,"Drone, Ambient",A dark and spacy synth drone ambiance,105,C#m,4/4,Aeolian,4:17,Synth Sound Effects,"Meditation, new age, drone, meditate, nature, documentary, well, darkness, demons, posessed, aliens, ambient, ambiance","Ominous, Meditative, Dark, Spooky","Drama, Romance, Documentary, Crime, Sci-Fi",4,,0
Ballad of the Bat,Pop,A haunting and odd-meter pop song,98,C#m,4/4,Dorian,4:16,"Synth, Strings, Elec. Drums, Female Vox","Eerie, Majestic, Sylvan, Magical, Delicate, Forest, Glowing, Eerie, Sparkly, Flitting","Tentative, Eerie","Romance, Drama",3,,0
Cosmic Archaeology,"Hip Hop, Tension","A tropical instrumental hip-hop underscore type beat featuring hang drum, strings, and bansuri.",130,Gm,4/4,Aeolian,4:11,"Elec. Drums, Hang Drum, Flute, Strings, String Section, Synth Bass","heartbeat, tension, waiting, tropical, island, beach, tiki torch, maui, hawaii, relaxing, ethnic, trap, hip hop, birds, rainforest, summer","Moody, Chill, Hot, Romantic, Deep","Romance, Romantic Comedy, Teen",2,,0
Daisy,Pop,A dark Billie Eilish inspired synth / trap ballad about a first meeting.,100,Am,4/4,Aeolian,3:58,"Female Vox, Synth Bass, Piano, Elec. Drums, String Section","Fearful, Tentative, First Meeting, Romance, Frightened, Dark, Ballad, Lovesong, Self-doubt, dangerous, heartbreak, heartbreaker, city, dark, billie, eilish, trap, emo, rnb, self-esteem, hurt, pain, sadness, pop ballad, trap bass, god is a woman, this is america","moody, dark, gloomy, melancholy, fearful","Drama, Romance, Commercial, Teen",5,,0
Black Sand,Ambient,Algorithmically generated ambient soundtrack music,120,C,4/4,Ionian,3:56,"Synth Pad, Synth, Synth Bass","Ambient, documentary, nature, meditation, meditative, relaxing, chill, ","Relaxed, Happy, Uplifting","Documentary, Romance, Drama",4,,0
Ritual,"Drone, Ambient",A meditative and relacing ambiance featuring pentatonic wind chimes,120,Ebm,4/4,Aeolian,3:50,"Wind Chimes, Synth, Synth Pad, Percussion","Meditation, New Age, Meditate, Meditating, Flute, Nature, Wilderness, Cold, Snow, Crystals, Chakras, Healing, Drone, Ambiance, Ambient","Meditative, Chill, Relaxed, Positive","Documentary, Romance, Drama, Crime",4,,0
Labyrinth,"Chiptune, Videogame","High energy, high speed retro chiptune style piece ",140,Em,4/4,Aeolian,3:48,"Elec. Drums, Synth, Synth bass","Video game, tron, chiptune, hard, fast, hyper, speedy, battle, boss","Moody, videogamey, sad",Video game,3,,0
Eastern Conflict,"Score, Action",Punchy and dramatic orchestral fight scene or chase music,132,Fm,4/4,Aeolian,3:46,"Orchestra, Drums, Violins, Percussion, Horn, Gong","Drama, Action, Fight, Chinese, Japanese, Gong, kung fu, ninja, crouching tiger hidden dragon, sword, katana, scrapping, chase scene, chase, long, throwing star, kimono, karate, chaos, chaotic, atonal, harsh, acoustic, epic","Dramatic, Aggressive, Angry, dangerous, edgy, epic, menacing, powerful, scary, tense",Action,4,,0
Tropical Sugar,Electronica,A super sugary and happy upbeat tropical indie pop tune,115,Db,4/4,Ionian,3:38,"Elec Drums, Piano, Synth, Synth Bass, Marimba","speedy, dance, pop, tropical, island, beach, sand, party, melodic, squiggly, sugary","cheerful, happy, upbeat","teen, commercial, animation",3,,0
Free,Pop,Pop tune written for a 'free' item promotion,105,F,4/4,Lydian,3:38,"Synth, synth bass,  Elec. Drums,  Female Vocals","Awkward, Weird, ",Happy,"Reality, Drama",1,,0
Halo High,"Pop, Synthpop",Uplifting and highly melodic synthpop song with a tempo split at 45/90/180 and delicious doubletime triplet fill,90,G,4/4,Ionian,3:29,"Synth, Synth Bass, Elec. Drums, Strings, Female Vox","Uplifting, Epic, Sweet, Dramatic, Awesome, Synthpop, Synth, Modal, Mode, Max Martin, Greeting, Hello, Sweetness, Rush, Sugar, Sugar Rush","Happy, Joyous, Cheerful, Majestic, ","Teen, Romance, Drama",5,,0
SineChron,"Videogame, EDM","An old-school, video-gamey synth piece reminiscent of Tron",125.5,Fm,4/4,Aeolian,3:26,"Synth Bass, Synth Lead, Synth Pad, Elec. Drums","Retro, Video Game, Tron, Animation, EDM, Arcade, Electronic Rock, Animation, Computers, Computer, Virtual Reality","Confident, Retro, Moody, Playful","Teen, Childrens, Animation, Retro",3,,0
Holding my Breath,"Pop, Ballad",A sad and moving acoustic piano ballad inspired by Lewis Capaldi's Somebody You Loved,86,A,4/4,Ionian,3:26,"Piano, Male Vox, Drum Set, Cello,","Lewis, Capaldi, Somebody, You, Loved, Change, Liar, Lie, Breakup, Break, Up, Depressing, Moving, Emotional, Acoustic, Harmony, Boy, Boy Vocals, Pop, Ballad, Apotheosis, Ending, Title Track, Ballad, Piano, Live, Live recording, emotion, Loss, death, Sinking, ","Gloomy, Lost, Romantic, Sad, Sentimental, Depressed, Dark, Lonely","Romance, Romantic Comedy, Teen, Main Title, Heroic, Crime",4,,0
Bioluminescent Currents,Ambient,Algorithmically generated ambient soundtrack music,120,C,4/4,Ionian,3:26,"Synth Pad, Synth, Synth Bass","Ambient, documentary, nature, meditation, meditative, relaxing, chill, ","Relaxed, Happy, Uplifting","Documentary, Romance, Drama",4,,0
Painful Circumstances (Gm),"Underscore, Tension",An ostinato driven string tension / drama track,101,Gm,4/4,Aeolian,3:25,"String Section, Hang Drum, Percussion, Violins","Dramatic, Heroin, Tragic, Tragedy, Tension, Building, Consequences, Drama, Horror, Murder, Criminal, Breakup, Fight, Angry, Anger, Unhappy, Video Game, Cut Scene, CSI, Crime Scene, Doom, Tension, Poignant, Suspense","Dark, Sad, Tragic, Melancholy, Moody, Tense","Builds, Horror, Romance, Crime",3,,1
Painful Circumstances (Am),"Underscore, Tension",An ostinato driven string tension / drama track,101,Am,4/4,Aeolian,3:25,"String Section, Hang Drum, Percussion, Violins","Dramatic, Heroin, Tragic, Tragedy, Tension, Building, Consequences, Drama, Horror, Murder, Criminal, Breakup, Fight, Angry, Anger, Unhappy, Video Game, Cut Scene, CSI, Crime Scene, Doom, Tension, Poignant, Suspense","Dark, Sad, Tragic, Melancholy, Moody, Tense","Builds, Horror, Romance, Crime",3,,1
Entrance Japan Dreaming,"Drone, Ambient",This drone track features buddhist chant and spacious synthesizer drones,120,Fm,4/4,Aeolian,3:22,"Synth, Synth Bass, Male Vocals, Sound Effects","Dark, Contemplative, Calm, Creepy, Magical, Mysterious, Serious, Suspenseful, Thoughtful, Storm, Temple, Chant, Buddhist, Bells, Religious, Documentary, Nature, Buddhism, Sanctuary, Lost at sea","Dark, Contemplative, Calm, Creepy, Magical, Mysterious, Serious, Suspenseful, Thoughtful","Broadcast, News, Documentary, Crime",3,,0
Sun Passage,"Drone, Ambient",A whooshing and spacy ambient drone inspired by the glare of the sun on a hot day,140,Ebm,4/4,Aeolian,3:22,"Synth Bass, Sound Effects","Sun, Hot, Summer, Burning, Deep, Drone, Ambiance, Ambient, Meditative, Meditation, Documentary, Nature, Sizzling, Sizzle, Desolate, Isolated, Desert, Bacon, Frying","Dark, Meditative, Resolute, Tense","Documentary, Crime, Drama, Builds, Military, Action",4,,0
Make me feel Pretty with the Lights Out,"Pop, Synthpop, Electronic",Bitchy and upbeat electronic pop song,120,G,4/4,Ionian,3:22,"Elec Drums, Synth, Synth Pad, Synth Bass, Female Vox","Bitchy, Pop, Popular, Mean Girls, Electrical, Electicity, Neon, Technicolor, Main Street Parade","Apprehensive, Sweet, Unsure, Excited","Teen, Romance, Drama",5,,0
I Love You,Pop,I hate this song it's embarassingly bad please let's forget it ever happened. Nerdy indie electronic love song with puns pretaining to math,140,F#,4/4,Ionian,3:18,"Synth, Elec Drums, Male Vox.","nerdy, geeky, nerd, geek, math, mathematics, indie, sandstorm, lovesong, cute","happy, cute, love","romance, romantic comedy, teen",1,,0
Light Waves,"Score, Videogame",Tense ambient underscore,201,Gm,4/4,Phrygian,3:18,"elec. drums, hi hat, synth, choir, chorus","Ambient, ambiant, Ambiance, ambience underscore, hip hop, hip hop ambiance, trap, trap music, horror, thriller, crime, criminal, drama, terror, creepy, scary, sci-fi, urban, tension","anxious, dark, dramatic, brooding, intense, ominous, tense, suspenseful, dangerous, eerie, creepy","crime, drama, elimination, video game",3,,0
Don't Stop Dancing,Pop,Pop tune written for an early pitch,130,G,4/4,Ionian,3:18,"Synth, synth bass,  Elec. Drums,  Female Vocals","club, dancing, clubbing, upbeat, cheerful","Earnest, Lonely","Reality, Drama",1,,0
My Tempo,"Rock, Electronic Rock","Fun funky, driving synthpop tune featuring a catchy falsetto chorus",102.5,Fm,4/4,Aeolian,3:17,"Elec Guitar, Synth, Synth Bass, Male Vox, Elec Drums","punchy, funky, driving, exciting, confident, successful, rock, club, pop, dance, ","exciting, hot, confident, ","romance, romantic comedy, commercial",5,,0
Ghosted,Pop,Modern pop tune about a failed relationship. Like the opposite of Call me Maybe.,140,A,4/4,Ionian,3:17,"String Section, Drums, Synth, Female Vox","upbeat, romance, unrequited, love, pop, ","upbeat, fun, pop, cheerful","romance, romantic comedy, teen",3,,0
Jade Melody,"Score, Drama","Magical and slow, chinese/western hybrid piece featuring live erhu, live piano, and live cello.",50,F#/Gb,4/4,Ionian,3:17,"Piano, bells, Cello, strings, erhu","chinese, china, eastern, japan, japanese, asian, asia, melody, melodic, main theme, thematic, theme, magic, magical, waiting, cartoon, comic, animation, fantasy, orchestra, orchestral, acoustic, instrumental, live ","Magical, romantic, contemplative, dreamy, longing, mysterious, whimsical","animation, romance, main title",5,,0
Open Passage,"Synthesizer, Sound Effects",A gritty and windy sci-fi type ambiance,120,C,4/4,Ionian,3:16,"Synthesizer, Sound Effects","meditation, new age, drone, meditate, nature, documentary, erratic, organic, natural, busy, layered, fireflies, bugs, dust devil, storm, aliens, water, wet, leaking, dripping, ambient, ambiance  ","Dark, Chill, Omenous, Relaxed","Builds, Documentary, Sci-fi, ",4,,0
"Hero and the Astrolabe, The","Score, Epic",main-title type cinematic cue evocative of exploration,115,Bm,4/4,Aeolian,3:16,"Orchestra, Electronics, Flute, Horn, Strings, Violin","epic, romantic, landscape, sailing, navigating, exploration, exploring","resolute, noble, strong, ","scifi, animation, commercial, epic",5,,0
Dreamscape,Ambient,Meditative and relaxing ambient track,111,Db,4/4,Ionian,3:16,"Synthesizer, Percussion, Kalimba","Meditative, Meditation, documentary, drama, spiritual, nature, crystals, chakras, spirit, om, space, fine art, museum, exhibit, calm, relaxing, chill, slow, ambient, ambiant, ambiance, ambience","content, calm, chill, dreamy, laid-back, lethargic, pleasant, relaxed",Documentary,4,,0
Phalaenopsis,Tropical House,Chilled out melodic tropical houst tune,118,A,4/4,Ionian,3:13,"Piano, Synth, Synth Bass, Synth Pluck, Elec. Drums","Tropical, House, Beach, ocean, island, hawaii, tropic","Relaxed, Chill, happy, content, contented","Reality, romance, romantic comedy",4,,0
To Cross the Night,"Drone, Ambient",,120,A,4/4,Aeolian,3:12,"Synth, Synth Pad, Synth Bass, Sound Effects",,,"Documentary, Sci-Fi, Horror, Crime, Drama",4,,0
Diskettamine,"Chiptune, Videogame","High energy, high speed retro chiptune style piece ",170,Db,4/4,Aeolian,3:12,"Elec. Drums, Synth, Synth bass","Video game, tron, chiptune, hard, fast, hyper, speedy, battle, boss","Intense, videogamey,",Video game,3,,0
Changing Levels,"Chiptune, Video Game",Videogamey chiptune tune,160,F,4/4,Ionian,3:09,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker, caffeinated, coffee","Caffeinated, Excited, Happy",Videogame,2,,0
Ambient Fluidity,Ambient,"Relaxed, fluid and ambient track",99,Eb,4/4,Ionian,3:04,"Piano, Synth","liquid, water, meditation, swelling, fluid, ","meditative, relaxing, chill, ","Commercial, Videogame",4,,1
The Metronome of Fate,"Score, EDM","A driving, synth based action cue with a morphing bassline and an incessant tick.",130,Dm,4/4,Aeolian,3:04,"Synth Bass, Percussion, Bass Drum, EDM Drums, Strings, Synth Pad, Brass Section","Hoverbike, Chase, Cyberpunk, Sci-fi, Escape, Speeder, Superhero, Marvel, DC Comics, Comic book, ","Adventurous, Active, Anxious, Building, Cool, Dangerous, Dark, Driving, Exciting, Energetic, Omenous, Suspense","Action, Builds, Video Game, Sci-Fi, Chase/fight, Animation",5,,0
RIP Current Trend,Pop,Interesting and different tropical EDM tune,80,b,4/4,Mixolydian,3:04,"Synth, synth bass,  Elec. Drums, Male Vocals, Female Vocals","Ocean, Africa, Ethnic, Island, Oasis, Beach, Tropical","Happy, Introspective, Cheerful, Uplifting","Documentary, Drama, Reality",3,,0
Why do I Try so hard when Everybody Else just Lies,"Hip hop, Pop",very 'different' sounding hip hop beat with cool textures,55,A,4/4,Ionian,3:03,"Elec. Drums, Synth, Synth bass","Hip hop, indie, synth, synthpop, whiny, annoying, experimental, pop","Complaining, Happy, Upbeat, ","Reality, Romance, Drama",2,,0
